Job_Role,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10,Skill_11,Skill_12,Skill_13,Skill_14,Skill_15,Skill_16,Skill_17,Skill_18
Embedded Systems Engineer,Xamarin,SASS,Apache,Kafka,Athena,GitLab,Nuxt.js,BigQuery,Vulkan,Shell Scripting,JIRA,MongoDB,iOS,Snowflake,Cloud Computing,Next.js,System Design,
System Administrator,Nuxt.js,Kafka,Analytics,Vulkan,Android,Simulink,JIRA,Shell Scripting,Security,Kotlin,,,,,,,,
Automation Engineer,Xamarin,DSA,Functional Programming,Emacs,Communication,VSCode,FastAPI,Swift,ETL,CI,OpenGL,Nuxt.js,CI/CD,,,,,
Data Governance Specialist,SQL,Hadoop,Scrum,Debugging,VSCode,TensorRT,Spring Boot,Webpack,ElasticSearch,,,,,,,,,
Research Engineer,DSA,Simulink,Nuxt.js,Hadoop,Security,R,Babel,Leadership,OpenGL,FastAPI,TensorRT,Kotlin,Redux,SQL,Agile,,,
IoT Engineer,Nginx,Xamarin,Emacs,Computer Vision,Hibernate,BigQuery,Swift,Athena,Spring Boot,Android,SASS,Communication,FPGA,SQL,,,,
Data Analyst,Bitbucket,Superset,GitLab,Scrum,Snowflake,Testing,TensorRT,GitHub,Apache,Leadership,GraphQL,Android,LESS,Athena,,,,
IT Support Specialist,GitHub,Communication,RESTful API,Storybook,ETL,Computer Vision,Testing,FPGA,CI/CD,Analytics,PySpark,Babel,CI,Kotlin,DSA,Nuxt.js,CD,Functional Programming
Business Intelligence Analyst,Bitbucket,Kafka,R,Babel,BigQuery,Spring Boot,Leadership,Agile,DSA,LESS,GitLab,VR,ROS,,,,,
Infrastructure Engineer,CI/CD,Apache,LESS,Linux CLI,Vulkan,Mocha,Webpack,SQL,Jest,System Design,Cloud Computing,Emacs,Django,,,,,
Tech Support Engineer,Airflow,CD,API Management,CI/CD,SASS,Cloud Computing,CI,Leadership,Swift,Babel,Django,DSA,Redis,VSCode,Superset,,,
Digital Forensics Analyst,OpenGL,Django,Verilog,GraphQL,Nginx,FPGA,Confluence,Redis,Analytics,Airflow,CD,,,,,,,
Site Reliability Engineer,TensorRT,Chai,CI/CD,RESTful API,Redis,Hadoop,Athena,Looker,Communication,Nuxt.js,Leadership,Security,Hibernate,ElasticSearch,OOP,AR,,
Technical Writer,Functional Programming,RESTful API,GitLab,Next.js,AR,CI,Swift,Superset,Kotlin,Redux,PySpark,Webpack,Redis,Communication,Looker,Linux CLI,,
Test Engineer,Chai,Nuxt.js,Confluence,Mocha,Vulkan,AR,Hibernate,Shell Scripting,,,,,,,,,,
Backend Developer,Shell Scripting,CI/CD,FPGA,OpenGL,Emacs,JIRA,SQL,CD,AR,ElasticSearch,CI,NoSQL,Linux CLI,R,Security,RESTful API,,
Research Engineer,Math,RESTful API,Mocha,Redux,Redis,BigQuery,Debugging,Athena,Matlab,FastAPI,Bitbucket,Swift,System Design,Analytics,CI/CD,PySpark,CI,
Security Engineer,Storybook,Snowflake,Shell Scripting,Kafka,Emacs,Verilog,Mocha,Communication,,,,,,,,,,
Product Manager,MongoDB,Agile,AR,RESTful API,GraphQL,GitHub,ROS,Verilog,ElasticSearch,DSA,CI,,,,,,,
Network Engineer,Vulkan,Webpack,Superset,PySpark,Confluence,Redis,Computer Vision,BigQuery,Snowflake,VSCode,Airflow,OpenGL,,,,,,
Tech Support Engineer,Kotlin,Mocha,Redux,ETL,GraphQL,DSA,Hadoop,R,Android,Hibernate,Leadership,Agile,Next.js,OpenGL,Bitbucket,ROS,AR,CI/CD
BI Developer,Apache,Jupyter,Snowflake,Hibernate,ETL,MongoDB,Leadership,LLVM,Redux,Babel,Swift,VR,Spark,Agile,FastAPI,Flask,Django,
IT Project Manager,Snowflake,Leadership,GitHub,Mocha,PySpark,Vulkan,Scrum,Redis,Spring Boot,NoSQL,Kafka,ETL,,,,,,
IT Consultant,Athena,Security,Emacs,Nginx,BigQuery,ElasticSearch,Jest,PySpark,Airflow,Jupyter,,,,,,,,
Linux Administrator,R,VR,Debugging,TensorRT,Superset,Athena,Next.js,Hadoop,Agile,Nginx,,,,,,,,
IoT Engineer,AR,ROS,OpenGL,SASS,Babel,Next.js,Vulkan,Math,,,,,,,,,,
Game Developer,Chai,Nuxt.js,Looker,Superset,Apache,AR,R,ETL,,,,,,,,,,
Data Engineer,Athena,VR,OOP,AR,CI,Android,Nuxt.js,SASS,Kotlin,RESTful API,PySpark,FastAPI,GitHub,Redis,CI/CD,,,
Data Scientist,Simulink,Functional Programming,Jest,Jupyter,TensorRT,Emacs,API Management,FPGA,Computer Vision,,,,,,,,,
Realtime System Engineer,Android,Hibernate,Looker,RESTful API,FastAPI,Superset,GitLab,Jest,ROS,,,,,,,,,
Web Developer,CI,Kafka,Matlab,JIRA,ETL,Vulkan,PySpark,BigQuery,Agile,LLVM,,,,,,,,
Business Intelligence Analyst,JIRA,MongoDB,Shell Scripting,Kotlin,GitHub,SQL,Apache,Bitbucket,iOS,Hibernate,API Management,AR,Android,Flask,System Design,Athena,,
Machine Learning Engineer,Chai,Analytics,Computer Vision,Leadership,Math,Kotlin,LLVM,R,,,,,,,,,,
Digital Forensics Analyst,Django,Scrum,RESTful API,Cloud Computing,Swift,VR,BigQuery,GitHub,Vulkan,Xamarin,Kotlin,Babel,,,,,,
Site Reliability Engineer,FastAPI,FPGA,TensorRT,Spring Boot,NoSQL,System Design,Emacs,Android,Cloud Computing,Airflow,Simulink,Jest,Looker,ROS,ETL,Spark,,
IT Consultant,GitHub,Math,Functional Programming,Android,iOS,Chai,VSCode,Airflow,Emacs,Superset,Nuxt.js,Next.js,FPGA,SQL,Kotlin,DSA,FastAPI,
Fullstack Developer,ETL,Functional Programming,Communication,iOS,Mocha,Vulkan,Storybook,Airflow,ElasticSearch,Jest,Leadership,Spring Boot,TensorRT,PySpark,Emacs,,,
Streaming Engineer,Confluence,FPGA,Next.js,Hibernate,Redux,GraphQL,BigQuery,Analytics,CD,Jest,,,,,,,,
UI/UX Designer,Nuxt.js,Chai,ElasticSearch,Cloud Computing,SASS,Matlab,SQL,LESS,FastAPI,Spark,Spring Boot,Jest,Hibernate,FPGA,ROS,TensorRT,,
Compliance Engineer,System Design,Webpack,OpenGL,Airflow,ROS,Snowflake,Swift,API Management,TensorRT,Spark,Redux,Spring Boot,Kafka,Computer Vision,,,,
Network Engineer,Hibernate,Airflow,Shell Scripting,Emacs,iOS,PySpark,GitLab,Mocha,Confluence,CD,Scrum,Nuxt.js,VR,Snowflake,Webpack,Linux CLI,,
Database Administrator,CD,PySpark,Shell Scripting,iOS,Matlab,Flask,Scrum,GraphQL,Hibernate,VSCode,Redux,Functional Programming,CI/CD,Linux CLI,,,,
Infrastructure Engineer,Agile,Matlab,Mocha,LLVM,Computer Vision,Hibernate,VSCode,AR,Testing,,,,,,,,,
Data Governance Specialist,Nginx,Django,TensorRT,Agile,Hadoop,iOS,Leadership,LESS,Flask,Xamarin,Snowflake,BigQuery,Spring Boot,System Design,PySpark,Athena,AR,Apache
Mobile Developer,Nginx,Spring Boot,OpenGL,CI/CD,Looker,Swift,Leadership,Shell Scripting,VSCode,Snowflake,Cloud Computing,MongoDB,Computer Vision,Redis,RESTful API,GitHub,,
Backend Developer,Django,CI/CD,Agile,VR,TensorRT,Math,Debugging,Verilog,MongoDB,Emacs,LLVM,AR,Jest,API Management,Flask,,,
Technical Lead,VR,Spring Boot,LESS,Security,Analytics,Apache,Mocha,Vulkan,Airflow,Simulink,Nginx,Swift,R,Spark,,,,
Product Manager,Debugging,LLVM,R,FPGA,Swift,PySpark,Spring Boot,MongoDB,Matlab,Redux,AR,Jupyter,Nuxt.js,System Design,,,,
Technical Lead,Swift,Scrum,Airflow,CI,Confluence,OpenGL,LLVM,iOS,API Management,Security,Verilog,NoSQL,Emacs,DSA,TensorRT,Superset,GraphQL,
Tech Support Engineer,iOS,FastAPI,LLVM,SASS,Webpack,NoSQL,Kotlin,Babel,OOP,API Management,Matlab,Shell Scripting,,,,,,
Tech Support Engineer,NoSQL,Spring Boot,Analytics,Airflow,LESS,ElasticSearch,Jupyter,R,PySpark,,,,,,,,,
Computer Vision Engineer,PySpark,Redis,Vulkan,CI,System Design,Webpack,Flask,iOS,Security,GitHub,JIRA,Kotlin,Cloud Computing,,,,,
Security Engineer,MongoDB,Looker,SQL,Django,System Design,Communication,Xamarin,DSA,Hadoop,Webpack,,,,,,,,
Embedded Systems Engineer,Agile,Confluence,GitLab,Scrum,Django,CD,Nuxt.js,Webpack,CI/CD,Swift,Debugging,System Design,FastAPI,Computer Vision,Communication,DSA,,
Realtime System Engineer,MongoDB,VSCode,API Management,JIRA,SASS,CI/CD,Babel,Emacs,Jest,Airflow,Hibernate,Spark,,,,,,
Information Security Analyst,GraphQL,Spark,Testing,Spring Boot,Scrum,GitLab,Athena,PySpark,Analytics,Simulink,CD,,,,,,,
Web Developer,Computer Vision,Snowflake,Athena,CI/CD,Looker,GraphQL,FPGA,GitLab,Jest,TensorRT,SASS,Linux CLI,CD,Confluence,,,,
Blockchain Developer,VSCode,VR,MongoDB,SQL,JIRA,Functional Programming,SASS,Emacs,BigQuery,,,,,,,,,
Streaming Engineer,Emacs,GitLab,Hadoop,FastAPI,Apache,Analytics,Vulkan,Bitbucket,Spark,Flask,Superset,Verilog,Webpack,Linux CLI,Storybook,,,
Site Admin,ElasticSearch,Django,Nginx,SASS,API Management,iOS,Cloud Computing,Snowflake,Spring Boot,Kafka,Flask,Linux CLI,Math,Simulink,Testing,Confluence,,
Web3 Developer,Matlab,SQL,RESTful API,NoSQL,Jupyter,VSCode,GraphQL,Swift,Nginx,,,,,,,,,
Embedded Systems Engineer,Looker,System Design,LLVM,OpenGL,LESS,Simulink,ETL,GitHub,ElasticSearch,Agile,Swift,MongoDB,SASS,Nuxt.js,Analytics,Webpack,NoSQL,Chai
