candidate_id,skills,qualification,experience_level,job_role
1,"Python, SQL, TensorFlow, Machine Learning, Communication",Master's in Data Science,Senior,Data Scientist
2,"HTML, CSS, JavaScript, React, Teamwork",Bachelor's in Computer Science,Mid,Frontend Developer
3,"Java, Spring, SQL, REST APIs, Problem Solving",Bachelor's in Software Engineering,Senior,Backend Developer
4,"Figma, Adobe XD, UI/UX Design, Creativity",Bachelor's in Design,Entry,Designer
5,"Python, Django, JavaScript, React, Agile",Master's in Computer Science,Mid,Full Stack Python Developer
6,"Financial Modeling, Excel, Communication, Risk Analysis",Master's in Finance,Senior,Finance
7,"C++, Unreal Engine, Game Design, Teamwork",Bachelor's in Game Development,Mid,Game Developer
8,"Kubernetes, Docker, AWS, CI/CD, Linux",Bachelor's in Computer Science,Senior,DevOps Engineer
9,"Java, Spring Boot, Hibernate, Microservices",Bachelor's in Software Engineering,Mid,Full Stack Java Developer
10,"Solidity, Ethereum, JavaScript, Blockchain",Bachelor's in Computer Science,Entry,Blockchain Developer
11,"Marketing Strategy, SEO, Content Creation, Analytics",Bachelor's in Marketing,Mid,Marketing
12,"Recruitment, HR Policies, Communication, Leadership",Master's in Human Resources,Senior,HR
13,"C#, .NET, SQL, ASP.NET",Bachelor's in Computer Science,Mid,C# Developer
14,"PHP, Laravel, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
15,"Swift, iOS Development, Objective-C, UI/UX",Bachelor's in Computer Science,Mid,Mobile Developer
16,"Network Security, Penetration Testing, Firewalls",Bachelor's in Cybersecurity,Senior,Cybersecurity Engineer
17,"Agile, Scrum, Project Management, Leadership",Master's in Business Administration,Senior,Software Project Manager
18,"C++, Unity, Game Design, 3D Modeling",Bachelor's in Game Development,Entry,Video Game Designer
19,"Python, Pandas, SQL, Data Visualization",Master's in Data Science,Mid,Data Analyst
20,"Kubernetes, Helm, AWS, Terraform",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer
21,"HTML, CSS, JavaScript, Node.js, MongoDB",Bachelor's in Computer Science,Mid,Web Developer
22,"Python, Machine Learning, Deep Learning, NLP",PhD in Artificial Intelligence,Senior,AIML
23,"Java, Android Development, Kotlin, REST APIs",Bachelor's in Software Engineering,Mid,Mobile Developer
24,"Python, Flask, JavaScript, PostgreSQL",Bachelor's in Computer Science,Entry,Full Stack Python Developer
25,"Java, Spring, Angular, Microservices",Master's in Software Engineering,Senior,Full Stack Java Developer
26,"Adobe Illustrator, Photoshop, UI/UX, Prototyping",Bachelor's in Graphic Design,Mid,Designer
27,"SQL, Tableau, Data Analysis, Statistics",Bachelor's in Statistics,Entry,Data Analyst
28,"C#, Unity, Game Physics, 3D Modeling",Bachelor's in Game Development,Mid,Game Developer
29,"AWS, Jenkins, Docker, Ansible",Bachelor's in Computer Science,Senior,DevOps Engineer
30,"PHP, WordPress, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
31,"Python, TensorFlow, Keras, Data Science",Master's in Data Science,Mid,Data Scientist
32,"Blockchain, Smart Contracts, Solidity, Web3",Bachelor's in Computer Science,Senior,Blockchain Developer
33,"React, JavaScript, HTML, CSS, Redux",Bachelor's in Computer Science,Mid,Frontend Developer
34,"Java, Hibernate, SQL, REST APIs",Bachelor's in Software Engineering,Senior,Backend Developer
35,"Digital Marketing, Google Analytics, SEO, PPC",Bachelor's in Marketing,Mid,Marketing
36,"HR Management, Recruitment, Employee Relations",Master's in Human Resources,Senior,HR
37,"C#, .NET Core, Azure, SQL Server",Bachelor's in Computer Science,Mid,C# Developer
38,"Swift, iOS, Xcode, Core Data",Bachelor's in Computer Science,Entry,Mobile Developer
39,"Network Security, Ethical Hacking, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
40,"Agile, JIRA, Stakeholder Management",Master's in Business Administration,Mid,Software Project Manager
41,"Python, R, SQL, Machine Learning",Master's in Data Science,Senior,Data Scientist
42,"Figma, Sketch, UI/UX, Wireframing",Bachelor's in Design,Entry,Designer
43,"Kubernetes, Docker, GCP, CI/CD",Bachelor's in Computer Science,Mid,Kubernetes Operations Engineer
44,"JavaScript, Node.js, Express, MongoDB",Bachelor's in Information Technology,Entry,Web Developer
45,"Python, Django, PostgreSQL, JavaScript",Bachelor's in Computer Science,Mid,Full Stack Python Developer
46,"Java, Spring Boot, Angular, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer
47,"C++, Unreal Engine, VR Development",Bachelor's in Game Development,Mid,Game Developer
48,"AWS, Terraform, Jenkins, Linux",Bachelor's in Computer Science,Senior,DevOps Engineer
49,"PHP, Symfony, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
50,"Solidity, Web3, Ethereum, JavaScript",Bachelor's in Computer Science,Mid,Blockchain Developer
51,"React, TypeScript, HTML, CSS",Bachelor's in Computer Science,Entry,Frontend Developer
52,"Java, Spring, SQL, Microservices",Bachelor's in Software Engineering,Senior,Backend Developer
53,"Marketing Campaigns, Social Media, Analytics",Bachelor's in Marketing,Mid,Marketing
54,"HR Policies, Recruitment, Training",Master's in Human Resources,Senior,HR
55,"C#, ASP.NET, SQL Server, Azure",Bachelor's in Computer Science,Mid,C# Developer
56,"Swift, iOS Development, UI/UX, Core Data",Bachelor's in Computer Science,Entry,Mobile Developer
57,"Penetration Testing, Firewalls, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
58,"Scrum, Agile, Project Management",Master's in Business Administration,Mid,Software Project Manager
59,"Python, Pandas, SQL, Tableau",Master's in Data Science,Entry,Data Analyst
60,"Kubernetes, Helm, AWS, Docker",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer
61,"HTML, CSS, JavaScript, Vue.js",Bachelor's in Information Technology,Mid,Web Developer
62,"Python, TensorFlow, NLP, Deep Learning",PhD in Artificial Intelligence,Senior,AIML
63,"Java, Kotlin, Android SDK, REST APIs",Bachelor's in Software Engineering,Mid,Mobile Developer
64,"Python, Flask, JavaScript, SQL",Bachelor's in Computer Science,Entry,Full Stack Python Developer
65,"Java, Spring, React, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer
66,"Adobe XD, Figma, UI/UX, Prototyping",Bachelor's in Graphic Design,Mid,Designer
67,"SQL, R, Data Visualization, Statistics",Bachelor's in Statistics,Entry,Data Analyst
68,"C++, Unity, Game Design, VR",Bachelor's in Game Development,Mid,Game Developer
